Time,Red_light,IR_light,SpO2,SpO2Valid
1743802209.4107525,16038.0,27469.0,99.0,1.0
1743802209.5265954,16148.0,27677.0,99.0,1.0
1743802209.6113403,16206.0,27841.0,99.0,1.0
1743802209.7289753,16261.0,27275.0,99.0,1.0
1743802209.8068025,15817.0,26380.0,99.0,1.0
1743802209.9260774,15909.0,26818.0,99.0,1.0
1743802210.0148945,15991.0,27186.0,99.0,1.0
1743802210.1327114,16081.0,27390.0,99.0,1.0
1743802210.2108054,16149.0,27635.0,99.0,1.0
1743802210.3284128,16247.0,27861.0,99.0,1.0
1743802210.4137676,16305.0,27969.0,99.0,1.0
1743802210.533956,16364.0,27899.0,99.0,1.0
1743802210.608711,15731.0,26310.0,99.0,1.0
1743802210.7361042,15630.0,26770.0,99.0,1.0
1743802210.8134496,15740.0,27249.0,99.0,1.0
1743802210.9341483,15873.0,27455.0,99.0,1.0
1743802211.012742,15913.0,27490.0,99.0,1.0
1743802211.130634,15971.0,27717.0,99.0,1.0
1743802211.2175388,15993.0,27802.0,99.0,1.0
1743802211.3350182,16026.0,27979.0,99.0,1.0
1743802211.4143348,16050.0,27164.0,99.0,1.0
1743802211.5384278,15431.0,26305.0,99.0,1.0
1743802211.614762,15557.0,26661.0,99.0,1.0
1743802211.7324746,15705.0,27007.0,99.0,1.0
1743802211.818872,15746.0,27105.0,99.0,1.0
1743802211.9393883,15824.0,27436.0,99.0,1.0
1743802212.0159633,15896.0,27650.0,99.0,1.0
1743802212.1329691,15997.0,27924.0,99.0,1.0
1743802212.2236261,16045.0,27276.0,99.0,1.0
1743802212.3416445,15445.0,26414.0,99.0,1.0
1743802212.417755,15606.0,26742.0,99.0,1.0
1743802212.5350826,15764.0,27189.0,99.0,1.0
1743802212.622481,15810.0,27366.0,99.0,1.0
1743802212.7430017,15929.0,27722.0,99.0,1.0
1743802212.8187158,16011.0,27968.0,99.0,1.0
1743802212.9367623,16084.0,28105.0,98.0,1.0
1743802213.024679,16111.0,27364.0,98.0,1.0
1743802213.1446233,15295.0,25831.0,98.0,1.0
1743802213.2213655,15438.0,26145.0,98.0,1.0
1743802213.3423483,15628.0,26754.0,98.0,1.0
1743802213.427328,15684.0,27001.0,98.0,1.0
1743802213.54326,15844.0,27493.0,98.0,1.0
1743802213.6295767,15921.0,27757.0,98.0,1.0
1743802213.7400024,16008.0,27999.0,98.0,1.0
1743802213.826263,16064.0,27668.0,98.0,1.0
1743802213.9474542,15335.0,25939.0,98.0,1.0
1743802214.0223775,15475.0,26287.0,98.0,1.0
1743802214.1399221,15649.0,26807.0,98.0,1.0
1743802214.2263455,15676.0,26982.0,98.0,1.0
1743802214.3436718,15796.0,27376.0,98.0,1.0
1743802214.431766,15860.0,27584.0,98.0,1.0
1743802214.5492895,15942.0,27847.0,98.0,1.0
1743802214.6257641,15948.0,26477.0,98.0,1.0
1743802214.7425654,15373.0,26081.0,98.0,1.0
1743802214.8291404,15493.0,26521.0,98.0,1.0
1743802214.9485924,15584.0,26504.0,98.0,1.0
1743802215.0269535,15532.0,26504.0,98.0,1.0
1743802215.145804,15592.0,26776.0,98.0,1.0
1743802215.2312202,15578.0,26789.0,98.0,1.0
1743802215.3486867,15534.0,26548.0,98.0,1.0
1743802215.4344802,14976.0,23880.0,99.0,1.0
1743802215.5439465,14888.0,24956.0,99.0,1.0
1743802215.6324437,15149.0,25928.0,99.0,1.0
1743802215.7511044,15446.0,26643.0,99.0,1.0
1743802215.8287108,15628.0,27232.0,99.0,1.0
1743802215.9468224,15962.0,27919.0,99.0,1.0
1743802216.0347798,16049.0,28199.0,99.0,1.0
1743802216.1530972,16155.0,28081.0,99.0,1.0
1743802216.2284029,15753.0,26424.0,99.0,1.0
1743802216.3495598,15762.0,27051.0,99.0,1.0
1743802216.4363317,15874.0,27605.0,99.0,1.0
1743802216.5559142,16031.0,27850.0,99.0,1.0
1743802216.632323,16107.0,28105.0,99.0,1.0
1743802216.7524273,16242.0,28317.0,99.0,1.0
1743802216.8382587,16273.0,28511.0,99.0,1.0
1743802216.954376,16337.0,28658.0,99.0,1.0
1743802217.0301428,16192.0,27009.0,99.0,1.0
1743802217.1502738,15860.0,27192.0,99.0,1.0
1743802217.2393274,15970.0,27586.0,99.0,1.0
1743802217.3578005,16100.0,27808.0,99.0,1.0
1743802217.4347594,16158.0,28057.0,99.0,1.0
1743802217.5529277,16286.0,28366.0,99.0,1.0
1743802217.641115,16331.0,28497.0,99.0,1.0
1743802217.760361,16380.0,28674.0,99.0,1.0
1743802217.8342054,16325.0,27277.0,99.0,1.0
1743802217.9543698,15898.0,27294.0,96.0,1.0
1743802218.0428288,16018.0,27609.0,96.0,1.0
1743802218.1561048,16153.0,27873.0,96.0,1.0
1743802218.242523,16198.0,28088.0,96.0,1.0
1743802218.3597062,16309.0,28401.0,96.0,1.0
1743802218.438845,16363.0,28574.0,96.0,1.0
1743802218.5582392,16426.0,28682.0,96.0,1.0
1743802218.6453683,16402.0,27825.0,96.0,1.0
1743802218.7642298,15671.0,26650.0,96.0,1.0
1743802218.840289,15833.0,26993.0,96.0,1.0
1743802218.9570234,16056.0,27562.0,96.0,1.0
1743802219.0440083,16109.0,27834.0,96.0,1.0
1743802219.1605902,16243.0,28181.0,96.0,1.0
1743802219.2456656,16264.0,28276.0,96.0,1.0
1743802219.3677075,16275.0,28405.0,96.0,1.0
1743802219.445793,16326.0,28499.0,96.0,1.0
1743802219.5664206,15655.0,26232.0,96.0,1.0
1743802219.6459968,15700.0,26553.0,96.0,1.0
1743802219.7670014,15868.0,27170.0,96.0,1.0
1743802219.8455648,15900.0,27132.0,96.0,1.0
1743802219.9656076,15961.0,27560.0,96.0,1.0
1743802220.0499415,16033.0,27856.0,96.0,1.0
1743802220.1668422,16125.0,28067.0,96.0,1.0
1743802220.2434251,16155.0,27984.0,96.0,1.0
1743802220.3603923,15501.0,26396.0,96.0,1.0
1743802220.449082,15726.0,26954.0,99.0,1.0
