Time,Red_light,IR_light,SpO2,SpO2Valid
1743803099.0103838,40271.0,29813.0,98.0,1.0
1743803099.0961785,40269.0,29857.0,98.0,1.0
1743803099.214727,40296.0,29930.0,98.0,1.0
1743803099.2916021,40310.0,29982.0,98.0,1.0
1743803099.410627,40301.0,29807.0,98.0,1.0
1743803099.4978704,40254.0,29700.0,98.0,1.0
1743803099.616024,40241.0,29741.0,98.0,1.0
1743803099.691383,40236.0,29757.0,98.0,1.0
1743803099.8086486,40242.0,29800.0,98.0,1.0
1743803099.8975463,40236.0,29862.0,98.0,1.0
1743803100.0120218,40263.0,29919.0,98.0,1.0
1743803100.096705,40271.0,29960.0,97.0,1.0
1743803100.2119884,40289.0,29772.0,97.0,1.0
1743803100.2976103,40214.0,29668.0,97.0,1.0
1743803100.4146554,40224.0,29704.0,97.0,1.0
1743803100.493849,40218.0,29726.0,97.0,1.0
1743803100.6137683,40233.0,29820.0,97.0,1.0
1743803100.6992965,40262.0,29860.0,97.0,1.0
1743803100.81569,40267.0,29902.0,97.0,1.0
1743803100.9005368,40250.0,29921.0,97.0,1.0
1743803101.0215328,40239.0,29767.0,97.0,1.0
1743803101.0981805,40180.0,29632.0,97.0,1.0
1743803101.2189057,40169.0,29654.0,97.0,1.0
1743803101.2955217,40187.0,29687.0,97.0,1.0
1743803101.4163704,40184.0,29712.0,97.0,1.0
1743803101.5051591,40202.0,29742.0,97.0,1.0
1743803101.6173248,40179.0,29758.0,97.0,1.0
1743803101.7027955,40172.0,29783.0,97.0,1.0
1743803101.819592,40165.0,29596.0,97.0,1.0
1743803101.904499,40120.0,29531.0,97.0,1.0
1743803102.021922,40133.0,29557.0,97.0,1.0
1743803102.0980546,40123.0,29541.0,97.0,1.0
1743803102.2179291,40130.0,29631.0,97.0,1.0
1743803102.3050842,40145.0,29687.0,97.0,1.0
1743803102.4200068,40178.0,29781.0,97.0,1.0
1743803102.498967,40194.0,29827.0,97.0,1.0
1743803102.6256456,40180.0,29634.0,98.0,1.0
