Time,Red_light,IR_light,SpO2,SpO2Valid
1743802379.7089984,22308.0,20873.0,99.0,1.0
1743802379.8258815,22295.0,20761.0,99.0,1.0
1743802379.9128191,22283.0,20853.0,99.0,1.0
1743802380.0297642,22296.0,20841.0,99.0,1.0
1743802380.116721,22294.0,20860.0,99.0,1.0
1743802380.23201,22337.0,20882.0,99.0,1.0
1743802380.3185163,22323.0,20854.0,99.0,1.0
1743802380.4378343,22355.0,20848.0,99.0,1.0
1743802380.5144827,22361.0,20915.0,99.0,1.0
1743802380.6341074,22398.0,20908.0,99.0,1.0
1743802380.7187536,22400.0,20984.0,99.0,1.0
1743802380.8350422,22431.0,20999.0,99.0,1.0
1743802380.919551,22418.0,21052.0,99.0,1.0
1743802381.0382073,22443.0,21030.0,99.0,1.0
1743802381.1129577,22447.0,21039.0,99.0,1.0
1743802381.2328646,22454.0,21039.0,99.0,1.0
1743802381.318429,22487.0,21021.0,99.0,1.0
1743802381.434507,22481.0,21059.0,99.0,1.0
1743802381.5143247,22478.0,21075.0,99.0,1.0
1743802381.631313,22500.0,21061.0,99.0,1.0
1743802381.7214413,22482.0,21061.0,99.0,1.0
1743802381.837853,22483.0,21082.0,99.0,1.0
1743802381.914354,22485.0,21049.0,99.0,1.0
1743802382.036261,22501.0,20994.0,99.0,1.0
1743802382.1233373,22521.0,21029.0,99.0,1.0
1743802382.2406547,22502.0,20990.0,99.0,1.0
1743802382.317571,22518.0,21035.0,99.0,1.0
1743802382.4364219,22523.0,21077.0,99.0,1.0
1743802382.5234683,22531.0,21091.0,99.0,1.0
1743802382.641387,22558.0,21152.0,99.0,1.0
1743802382.71778,22596.0,21125.0,99.0,1.0
1743802382.836189,22601.0,21158.0,99.0,1.0
1743802382.9244595,22594.0,21137.0,99.0,1.0
1743802383.0444767,22599.0,21091.0,99.0,1.0
1743802383.1210465,22608.0,21059.0,99.0,1.0
1743802383.2387252,22622.0,21039.0,99.0,1.0
1743802383.3238013,22611.0,21060.0,99.0,1.0
1743802383.4412532,22630.0,20967.0,99.0,1.0
1743802383.5261688,22631.0,20982.0,99.0,1.0
1743802383.6424453,22627.0,20942.0,99.0,1.0
1743802383.726833,22609.0,20920.0,99.0,1.0
1743802383.8440385,22630.0,20912.0,99.0,1.0
1743802383.9286063,22638.0,20921.0,99.0,1.0
1743802384.0457025,22639.0,21117.0,99.0,1.0
1743802384.1259947,22632.0,21226.0,98.0,1.0
1743802384.2474308,22714.0,21189.0,98.0,1.0
1743802384.332741,22670.0,21112.0,98.0,1.0
1743802384.4496715,22634.0,21079.0,98.0,1.0
1743802384.5246375,22671.0,21135.0,98.0,1.0
1743802384.6509962,22700.0,21319.0,98.0,1.0
1743802384.7251415,22699.0,21252.0,98.0,1.0
1743802384.8450844,22716.0,21259.0,98.0,1.0
1743802384.9321988,22736.0,21221.0,98.0,1.0
1743802385.0496964,22766.0,21230.0,98.0,1.0
1743802385.1260464,22766.0,21238.0,98.0,1.0
1743802385.2472057,22802.0,21186.0,98.0,1.0
1743802385.332421,22789.0,21192.0,98.0,1.0
1743802385.449124,22783.0,21211.0,98.0,1.0
1743802385.5357974,22773.0,21202.0,98.0,1.0
1743802385.6552663,22789.0,21199.0,98.0,1.0
1743802385.7307022,22803.0,21276.0,98.0,1.0
1743802385.8503227,22826.0,21334.0,98.0,1.0
1743802385.9368012,22735.0,21143.0,98.0,1.0
1743802386.056787,22667.0,21058.0,98.0,1.0
1743802386.1309433,22742.0,21110.0,98.0,1.0
1743802386.2497735,22860.0,21246.0,98.0,1.0
1743802386.3365445,22903.0,21272.0,98.0,1.0
1743802386.4569535,22959.0,21190.0,98.0,1.0
1743802386.531523,22944.0,21183.0,98.0,1.0
1743802386.6510208,22923.0,21198.0,99.0,1.0
1743802386.7391627,22915.0,21182.0,99.0,1.0
1743802386.8563995,22922.0,21163.0,99.0,1.0
