Time,Red_light,IR_light,SpO2,SpO2Valid
1743803418.9718497,30629.0,28043.0,98.0,1.0
1743803419.0484433,30566.0,28004.0,98.0,1.0
1743803419.1688817,30566.0,27834.0,98.0,1.0
1743803419.2567778,30514.0,27698.0,98.0,1.0
1743803419.3704941,30496.0,27652.0,98.0,1.0
1743803419.446211,30478.0,27689.0,98.0,1.0
1743803419.5689933,30505.0,27737.0,98.0,1.0
1743803419.6564975,30519.0,27749.0,98.0,1.0
1743803419.7747295,30551.0,27814.0,98.0,1.0
1743803419.8545144,30567.0,27782.0,98.0,1.0
1743803419.9720838,30506.0,27559.0,98.0,1.0
1743803420.056161,30435.0,27425.0,98.0,1.0
1743803420.1716065,30392.0,27387.0,98.0,1.0
1743803420.2532268,30424.0,27448.0,98.0,1.0
1743803420.3696897,30471.0,27496.0,98.0,1.0
1743803420.4566555,30486.0,27499.0,98.0,1.0
1743803420.5723596,30511.0,27383.0,98.0,1.0
1743803420.652596,30467.0,27327.0,98.0,1.0
1743803420.7714064,30479.0,27310.0,98.0,1.0
1743803420.8600776,30491.0,27332.0,99.0,1.0
1743803420.9757526,30507.0,27372.0,99.0,1.0
1743803421.0604386,30515.0,27379.0,99.0,1.0
1743803421.17693,30548.0,27449.0,99.0,1.0
1743803421.2527273,30561.0,27361.0,99.0,1.0
1743803421.3797443,30501.0,27176.0,99.0,1.0
1743803421.456278,30506.0,27133.0,99.0,1.0
1743803421.5759768,30507.0,27141.0,99.0,1.0
1743803421.6621308,30495.0,27141.0,99.0,1.0
1743803421.774612,30527.0,27205.0,99.0,1.0
1743803421.8629837,30568.0,27233.0,99.0,1.0
1743803421.9795396,30585.0,27311.0,99.0,1.0
1743803422.0568397,30606.0,27112.0,99.0,1.0
1743803422.1828396,30574.0,27073.0,99.0,1.0
1743803422.2582235,30571.0,27042.0,99.0,1.0
1743803422.376558,30582.0,27080.0,99.0,1.0
1743803422.4653513,30614.0,27153.0,99.0,1.0
1743803422.5821724,30644.0,27176.0,99.0,1.0
1743803422.6591647,30646.0,27147.0,99.0,1.0
1743803422.778282,30638.0,27185.0,99.0,1.0
1743803422.8666017,30630.0,27044.0,99.0,1.0
1743803422.9836671,30575.0,26912.0,99.0,1.0
1743803423.0621214,30563.0,26864.0,99.0,1.0
1743803423.1803274,30571.0,26877.0,99.0,1.0
1743803423.267615,30570.0,26909.0,99.0,1.0
1743803423.3839982,30609.0,26961.0,99.0,1.0
1743803423.4637802,30638.0,27008.0,99.0,1.0
1743803423.5802073,30655.0,27062.0,99.0,1.0
1743803423.6700191,30690.0,27097.0,99.0,1.0
1743803423.7889442,30650.0,26883.0,99.0,1.0
1743803423.868308,30663.0,26885.0,99.0,1.0
1743803423.98671,30659.0,26894.0,99.0,1.0
1743803424.0717542,30660.0,26908.0,99.0,1.0
1743803424.1899087,30697.0,26965.0,99.0,1.0
1743803424.2671363,30715.0,26984.0,99.0,1.0
1743803424.3863614,30715.0,27049.0,99.0,1.0
1743803424.463594,30758.0,27121.0,99.0,1.0
1743803424.5848043,30731.0,26883.0,99.0,1.0
1743803424.671579,30733.0,26935.0,99.0,1.0
1743803424.789985,30726.0,26934.0,99.0,1.0
1743803424.8662274,30764.0,26954.0,99.0,1.0
1743803424.9842834,30801.0,27025.0,99.0,1.0
1743803425.0761065,30813.0,27089.0,99.0,1.0
1743803425.1846008,30865.0,27187.0,99.0,1.0
1743803425.2732985,30897.0,27245.0,99.0,1.0
1743803425.3931937,30903.0,27075.0,99.0,1.0
1743803425.469122,30865.0,27040.0,99.0,1.0
1743803425.5896664,30856.0,27026.0,99.0,1.0
1743803425.6767135,30881.0,27074.0,99.0,1.0
1743803425.7916887,30910.0,27138.0,99.0,1.0
1743803425.8782916,30924.0,27175.0,99.0,1.0
1743803425.9966908,30937.0,27224.0,99.0,1.0
1743803426.0732439,30962.0,27280.0,99.0,1.0
1743803426.19361,31012.0,27360.0,99.0,1.0
1743803426.272995,30971.0,27100.0,99.0,1.0
1743803426.3933532,30927.0,27079.0,99.0,1.0
1743803426.47414,30940.0,27097.0,99.0,1.0
1743803426.5945826,30959.0,27127.0,99.0,1.0
1743803426.6735954,30986.0,27189.0,99.0,1.0
1743803426.794304,31012.0,27243.0,99.0,1.0
1743803426.8808615,31021.0,27257.0,99.0,1.0
1743803426.9998624,31046.0,27342.0,99.0,1.0
1743803427.0776331,31079.0,27277.0,99.0,1.0
1743803427.2013605,30971.0,27064.0,99.0,1.0
1743803427.278429,30998.0,27098.0,99.0,1.0
1743803427.3939364,30996.0,27119.0,99.0,1.0
1743803427.481101,31026.0,27175.0,99.0,1.0
1743803427.5960677,31068.0,27259.0,99.0,1.0
1743803427.6809928,31075.0,27280.0,99.0,1.0
1743803427.7987654,31099.0,27370.0,99.0,1.0
1743803427.8830786,31155.0,27356.0,99.0,1.0
1743803427.9997778,31080.0,27150.0,99.0,1.0
1743803428.0858862,31094.0,27168.0,99.0,1.0
1743803428.2014532,31091.0,27204.0,99.0,1.0
1743803428.280399,31116.0,27262.0,99.0,1.0
1743803428.3983629,31172.0,27353.0,98.0,1.0
1743803428.4882822,31188.0,27398.0,98.0,1.0
1743803428.6052074,31235.0,27505.0,98.0,1.0
1743803428.679189,31255.0,27355.0,98.0,1.0
1743803428.806938,31185.0,27263.0,98.0,1.0
1743803428.8835268,31202.0,27264.0,98.0,1.0
1743803429.000981,31203.0,27292.0,98.0,1.0
1743803429.0873797,31221.0,27347.0,98.0,1.0
1743803429.2077136,31229.0,27398.0,98.0,1.0
1743803429.282116,31257.0,27451.0,98.0,1.0
1743803429.402933,31290.0,27518.0,98.0,1.0
1743803429.4893785,31268.0,27282.0,98.0,1.0
1743803429.6063597,31238.0,27234.0,98.0,1.0
1743803429.692933,31224.0,27248.0,98.0,1.0
1743803429.8084686,31225.0,27265.0,98.0,1.0
1743803429.883231,31243.0,27299.0,98.0,1.0
1743803430.0048018,31242.0,27321.0,98.0,1.0
1743803430.0897124,31251.0,27341.0,98.0,1.0
1743803430.2085063,31251.0,27236.0,98.0,1.0
1743803430.2955003,31176.0,27043.0,98.0,1.0
1743803430.4059377,31164.0,27030.0,98.0,1.0
1743803430.490619,31164.0,27087.0,98.0,1.0
1743803430.6067479,31174.0,27092.0,98.0,1.0
1743803430.6833518,31216.0,27156.0,98.0,1.0
