Time,Red_light,IR_light,SpO2,SpO2Valid
1743802263.1649928,23345.0,16494.0,96.0,1.0
1743802263.25002,23380.0,16570.0,96.0,1.0
1743802263.3663723,23406.0,16803.0,96.0,1.0
1743802263.4540246,23394.0,16782.0,96.0,1.0
1743802263.5701346,23397.0,16756.0,96.0,1.0
1743802263.6478148,23406.0,16780.0,96.0,1.0
1743802263.7668502,23388.0,16556.0,96.0,1.0
1743802263.8532054,23393.0,16529.0,96.0,1.0
1743802263.9708297,23397.0,16536.0,96.0,1.0
1743802264.0553622,23409.0,16602.0,96.0,1.0
1743802264.1732924,23433.0,16646.0,96.0,1.0
1743802264.2489316,23428.0,16661.0,96.0,1.0
1743802264.3690085,23444.0,16735.0,96.0,1.0
1743802264.4492574,23466.0,16577.0,96.0,1.0
1743802264.5706954,23462.0,16775.0,96.0,1.0
1743802264.6553826,23470.0,16925.0,96.0,1.0
1743802264.774112,23495.0,16945.0,96.0,1.0
1743802264.8513927,23488.0,17018.0,96.0,1.0
1743802264.9715862,23502.0,17117.0,96.0,1.0
1743802265.0588071,23501.0,17174.0,96.0,1.0
1743802265.17636,23523.0,17093.0,96.0,1.0
1743802265.2507896,23485.0,17062.0,96.0,1.0
1743802265.374156,23512.0,17271.0,96.0,1.0
1743802265.4580758,23528.0,17186.0,96.0,1.0
1743802265.574241,23516.0,17112.0,96.0,1.0
1743802265.658747,23514.0,17146.0,96.0,1.0
1743802265.7793343,23529.0,17169.0,96.0,1.0
1743802265.8540576,23514.0,17152.0,96.0,1.0
1743802265.9736807,23509.0,16862.0,96.0,1.0
1743802266.061307,23523.0,17091.0,96.0,1.0
1743802266.1794915,23558.0,17176.0,96.0,1.0
1743802266.2537878,23553.0,17240.0,96.0,1.0
1743802266.3801157,23563.0,17343.0,96.0,1.0
1743802266.4581373,23576.0,17448.0,96.0,1.0
1743802266.5788474,23581.0,17413.0,96.0,1.0
1743802266.6642845,23565.0,17168.0,96.0,1.0
1743802266.7835615,23549.0,17298.0,96.0,1.0
1743802266.860885,23559.0,17376.0,96.0,1.0
1743802266.980971,23584.0,17427.0,96.0,1.0
1743802267.0668993,23583.0,17465.0,96.0,1.0
1743802267.183527,23575.0,17448.0,96.0,1.0
1743802267.2591999,23570.0,17362.0,96.0,1.0
1743802267.3859012,23574.0,17274.0,96.0,1.0
1743802267.4613345,23550.0,16885.0,96.0,1.0
1743802267.5787354,23554.0,17098.0,96.0,1.0
1743802267.6664193,23579.0,17132.0,96.0,1.0
1743802267.7822618,23581.0,17144.0,96.0,1.0
1743802267.8669438,23592.0,17216.0,95.0,1.0
1743802267.9854167,23598.0,17355.0,95.0,1.0
1743802268.0701299,23607.0,17456.0,95.0,1.0
1743802268.1868165,23612.0,17289.0,95.0,1.0
1743802268.2613823,23600.0,17475.0,95.0,1.0
1743802268.3893812,23648.0,17679.0,95.0,1.0
1743802268.466593,23626.0,17690.0,95.0,1.0
1743802268.5853481,23652.0,17730.0,95.0,1.0
1743802268.6710443,23645.0,17813.0,95.0,1.0
1743802268.7878633,23660.0,17826.0,95.0,1.0
1743802268.8631516,23660.0,17880.0,95.0,1.0
1743802268.9920776,23636.0,17521.0,95.0,1.0
1743802269.0688498,23645.0,17631.0,95.0,1.0
1743802269.1862671,23652.0,17583.0,95.0,1.0
1743802269.272804,23640.0,17563.0,95.0,1.0
1743802269.3903124,23656.0,17614.0,95.0,1.0
1743802269.4695716,23665.0,17643.0,95.0,1.0
1743802269.5870464,23659.0,17715.0,95.0,1.0
1743802269.673495,23693.0,17718.0,95.0,1.0
1743802269.7915611,23644.0,17429.0,95.0,1.0
1743802269.8676293,23677.0,17539.0,95.0,1.0
1743802269.9876728,23680.0,17577.0,95.0,1.0
1743802270.0731046,23673.0,17455.0,95.0,1.0
1743802270.1920152,23691.0,17486.0,95.0,1.0
1743802270.2772474,23696.0,17525.0,95.0,1.0
1743802270.3945925,23706.0,17522.0,96.0,1.0
1743802270.4699304,23708.0,17594.0,96.0,1.0
1743802270.5896518,23732.0,17364.0,96.0,1.0
1743802270.67568,23700.0,17664.0,96.0,1.0
1743802270.792962,23729.0,17652.0,96.0,1.0
1743802270.8789785,23722.0,17643.0,96.0,1.0
1743802270.9887242,23727.0,17613.0,96.0,1.0
1743802271.07797,23718.0,17597.0,96.0,1.0
1743802271.197759,23717.0,17509.0,96.0,1.0
1743802271.2738366,23727.0,17561.0,96.0,1.0
1743802271.3937862,23751.0,17428.0,96.0,1.0
1743802271.4813905,23707.0,17339.0,96.0,1.0
1743802271.5997422,23737.0,17452.0,96.0,1.0
1743802271.676525,23728.0,17421.0,96.0,1.0
1743802271.7934425,23734.0,17405.0,96.0,1.0
1743802271.880041,23730.0,17490.0,96.0,1.0
1743802271.998869,23747.0,17531.0,96.0,1.0
1743802272.074102,23765.0,17580.0,96.0,1.0
1743802272.2030137,23797.0,17580.0,96.0,1.0
1743802272.2783618,23767.0,17399.0,96.0,1.0
1743802272.3963814,23780.0,17526.0,96.0,1.0
1743802272.4835517,23785.0,17515.0,96.0,1.0
1743802272.6032896,23787.0,17521.0,96.0,1.0
1743802272.6786702,23792.0,17531.0,96.0,1.0
1743802272.7991283,23815.0,17566.0,96.0,1.0
1743802272.883135,23822.0,17632.0,96.0,1.0
1743802272.9997609,23827.0,17717.0,96.0,1.0
1743802273.0846486,23831.0,17395.0,96.0,1.0
1743802273.2031589,23829.0,17582.0,96.0,1.0
1743802273.2786412,23845.0,17606.0,96.0,1.0
1743802273.4012358,23840.0,17586.0,96.0,1.0
1743802273.4877214,23842.0,17615.0,96.0,1.0
1743802273.604807,23872.0,17674.0,96.0,1.0
1743802273.68045,23866.0,17697.0,96.0,1.0
1743802273.8078218,23880.0,17720.0,96.0,1.0
1743802273.884477,23891.0,17635.0,96.0,1.0
1743802274.0017834,23872.0,17594.0,96.0,1.0
1743802274.078766,23883.0,17675.0,96.0,1.0
1743802274.2001634,23900.0,17690.0,96.0,1.0
1743802274.2905126,23889.0,17731.0,96.0,1.0
