Time,Red_light,IR_light,SpO2,SpO2Valid
1743802829.9388626,49551.0,41483.0,97.0,1.0
1743802830.0261688,49739.0,41815.0,97.0,1.0
1743802830.1438127,49854.0,42030.0,97.0,1.0
1743802830.2199283,49855.0,41788.0,97.0,1.0
1743802830.3479195,49601.0,41215.0,97.0,1.0
1743802830.4233685,49774.0,41330.0,97.0,1.0
1743802830.5395765,49701.0,40891.0,97.0,1.0
1743802830.6215756,49564.0,41025.0,97.0,1.0
1743802830.7507896,49649.0,41492.0,97.0,1.0
1743802830.8291798,49785.0,41776.0,97.0,1.0
1743802830.9478045,49872.0,41640.0,97.0,1.0
1743802831.0226567,49399.0,39711.0,97.0,1.0
1743802831.150645,49227.0,40071.0,97.0,1.0
1743802831.2310524,49340.0,40445.0,97.0,1.0
1743802831.3511634,49441.0,40690.0,97.0,1.0
1743802831.4279563,49616.0,41497.0,97.0,1.0
1743802831.5487819,49883.0,41973.0,97.0,1.0
1743802831.6339583,49961.0,42058.0,97.0,1.0
1743802831.7512596,49970.0,41197.0,97.0,1.0
1743802831.8280504,49431.0,40290.0,97.0,1.0
1743802831.9459794,49531.0,40600.0,97.0,1.0
1743802832.0271857,49599.0,40853.0,97.0,1.0
1743802832.1550124,49671.0,41282.0,97.0,1.0
1743802832.2311268,49838.0,41637.0,97.0,1.0
1743802832.3490386,49929.0,41847.0,97.0,1.0
1743802832.4246168,49949.0,41896.0,97.0,1.0
1743802832.5548303,49929.0,41204.0,97.0,1.0
1743802832.629516,49355.0,39678.0,97.0,1.0
1743802832.756493,49336.0,40032.0,97.0,1.0
1743802832.830675,49413.0,40399.0,97.0,1.0
1743802832.9485214,49468.0,40637.0,97.0,1.0
1743802833.0356593,49597.0,41059.0,97.0,1.0
1743802833.1520383,49778.0,41613.0,97.0,1.0
1743802833.2275717,49845.0,41841.0,97.0,1.0
1743802833.350212,49914.0,41768.0,97.0,1.0
1743802833.4311898,49516.0,39846.0,97.0,1.0
1743802833.5538962,49478.0,40577.0,97.0,1.0
1743802833.6332505,49582.0,40854.0,97.0,1.0
1743802833.7509992,49630.0,40941.0,97.0,1.0
1743802833.8384364,49725.0,41333.0,97.0,1.0
1743802833.9569707,49819.0,41503.0,97.0,1.0
1743802834.0329154,49832.0,41504.0,97.0,1.0
1743802834.159912,49782.0,41058.0,97.0,1.0
1743802834.2358575,49319.0,39784.0,97.0,1.0
1743802834.362655,49538.0,40913.0,97.0,1.0
1743802834.4368875,49771.0,41362.0,97.0,1.0
1743802834.553834,49869.0,41690.0,97.0,1.0
1743802834.6366456,49998.0,42007.0,97.0,1.0
1743802834.7640052,50145.0,42365.0,97.0,1.0
1743802834.8385308,50222.0,42473.0,97.0,1.0
1743802834.9570296,50295.0,41771.0,97.0,1.0
1743802835.0422034,49927.0,41425.0,97.0,1.0
1743802835.1619284,50048.0,41817.0,97.0,1.0
1743802835.2353692,50154.0,41993.0,97.0,1.0
1743802835.3650463,50200.0,42183.0,97.0,1.0
1743802835.4406047,50265.0,42344.0,97.0,1.0
1743802835.5584617,50336.0,42428.0,97.0,1.0
1743802835.6448543,50277.0,42362.0,97.0,1.0
1743802835.7625973,50132.0,40721.0,97.0,1.0
1743802835.8396244,49673.0,40547.0,97.0,1.0
1743802835.9600294,49731.0,40840.0,97.0,1.0
1743802836.0466945,49852.0,41040.0,97.0,1.0
1743802836.1677325,49972.0,41663.0,97.0,1.0
1743802836.2440007,50176.0,42060.0,98.0,1.0
1743802836.361963,50288.0,42352.0,98.0,1.0
1743802836.4477031,50349.0,42563.0,98.0,1.0
1743802836.5688329,49904.0,40464.0,98.0,1.0
1743802836.643754,49790.0,41037.0,98.0,1.0
1743802836.7709935,50100.0,41618.0,98.0,1.0
1743802836.8463435,50101.0,41602.0,98.0,1.0
1743802836.9642718,50303.0,42193.0,98.0,1.0
1743802837.0406866,50361.0,42320.0,98.0,1.0
1743802837.164335,50472.0,42655.0,98.0,1.0
1743802837.2491336,50519.0,41795.0,98.0,1.0
1743802837.3654077,49875.0,40809.0,98.0,1.0
1743802837.4507492,49905.0,41148.0,98.0,1.0
1743802837.5664196,49997.0,41095.0,98.0,1.0
1743802837.6504297,49980.0,41388.0,98.0,1.0
1743802837.768289,50163.0,41795.0,98.0,1.0
1743802837.84378,50228.0,41951.0,98.0,1.0
1743802837.9754107,50292.0,41223.0,98.0,1.0
1743802838.0532622,49719.0,40173.0,98.0,1.0
1743802838.1724598,49898.0,40828.0,98.0,1.0
1743802838.2470667,49993.0,41131.0,98.0,1.0
1743802838.370236,50020.0,41206.0,98.0,1.0
1743802838.4466608,50140.0,41653.0,98.0,1.0
1743802838.5708334,50296.0,42015.0,98.0,1.0
1743802838.6490142,50343.0,42219.0,98.0,1.0
1743802838.771439,49880.0,40350.0,98.0,1.0
1743802838.8477097,49860.0,40684.0,98.0,1.0
1743802838.9786463,50014.0,41100.0,98.0,1.0
1743802839.05234,50075.0,41236.0,98.0,1.0
1743802839.1722846,50207.0,41729.0,98.0,1.0
1743802839.2569542,50295.0,42119.0,98.0,1.0
1743802839.3663235,50439.0,42371.0,98.0,1.0
1743802839.4568093,50388.0,41016.0,98.0,1.0
1743802839.5745518,49897.0,40942.0,98.0,1.0
1743802839.6506205,50077.0,41276.0,98.0,1.0
1743802839.767532,50157.0,41398.0,98.0,1.0
1743802839.8585958,50198.0,41932.0,98.0,1.0
1743802839.9759045,50506.0,42590.0,98.0,1.0
1743802840.0525975,50645.0,42892.0,98.0,1.0
1743802840.1713686,50788.0,42789.0,98.0,1.0
1743802840.2601187,50495.0,41887.0,98.0,1.0
1743802840.3780444,50711.0,42620.0,98.0,1.0
1743802840.455,50759.0,42730.0,98.0,1.0
1743802840.5741591,50785.0,42884.0,98.0,1.0
1743802840.661198,50894.0,43070.0,98.0,1.0
1743802840.7784805,50954.0,43177.0,98.0,1.0
1743802840.8559499,50978.0,43329.0,98.0,1.0
1743802840.974416,50845.0,42114.0,98.0,1.0
1743802841.0638745,50689.0,42438.0,98.0,1.0
1743802841.1820796,50840.0,42696.0,98.0,1.0
1743802841.256974,50867.0,42635.0,98.0,1.0
1743802841.3746789,50857.0,42618.0,98.0,1.0
1743802841.4616528,50823.0,42438.0,98.0,1.0
1743802841.5800896,50389.0,41271.0,98.0,1.0
1743802841.6664505,49866.0,39628.0,98.0,1.0
1743802841.7840014,47594.0,38050.0,98.0,1.0
