Time,Red_light,IR_light,SpO2,SpO2Valid
1743803017.0726397,40020.0,28876.0,99.0,1.0
1743803017.1463013,40030.0,28852.0,99.0,1.0
1743803017.2660449,40035.0,28866.0,99.0,1.0
1743803017.3500097,40050.0,28904.0,99.0,1.0
1743803017.4668016,40063.0,28961.0,99.0,1.0
1743803017.5512786,40082.0,28874.0,99.0,1.0
1743803017.6694498,40049.0,28828.0,99.0,1.0
1743803017.7447238,40046.0,28857.0,99.0,1.0
1743803017.8750925,40062.0,28852.0,99.0,1.0
1743803017.9432487,40060.0,28873.0,99.0,1.0
1743803018.069078,40084.0,28914.0,99.0,1.0
1743803018.1465755,40097.0,28913.0,99.0,1.0
1743803018.2688665,40076.0,28799.0,99.0,1.0
1743803018.3470862,40032.0,28689.0,99.0,1.0
1743803018.4759214,39993.0,28692.0,99.0,1.0
1743803018.5550952,40007.0,28716.0,99.0,1.0
1743803018.6726449,40012.0,28757.0,99.0,1.0
1743803018.748093,40036.0,28807.0,99.0,1.0
1743803018.8688421,40049.0,28863.0,99.0,1.0
1743803018.9517272,40053.0,28889.0,99.0,1.0
1743803019.073118,40018.0,28680.0,99.0,1.0
1743803019.1508996,39985.0,28651.0,99.0,1.0
1743803019.2684402,39969.0,28735.0,99.0,1.0
1743803019.3574023,40010.0,28793.0,98.0,1.0
1743803019.4761102,40069.0,28895.0,98.0,1.0
1743803019.5534496,40077.0,28921.0,98.0,1.0
1743803019.670677,40098.0,28961.0,98.0,1.0
1743803019.7576053,40111.0,28986.0,98.0,1.0
1743803019.8732595,40060.0,28800.0,98.0,1.0
1743803019.959004,40042.0,28788.0,98.0,1.0
1743803020.0765655,40033.0,28845.0,98.0,1.0
1743803020.151677,40046.0,28858.0,98.0,1.0
1743803020.271262,40049.0,28911.0,98.0,1.0
1743803020.360099,40059.0,28930.0,98.0,1.0
1743803020.479688,40081.0,28969.0,98.0,1.0
1743803020.5577111,40076.0,28953.0,98.0,1.0
1743803020.6745024,40021.0,28781.0,98.0,1.0
1743803020.7624583,40015.0,28775.0,98.0,1.0
1743803020.882105,40013.0,28818.0,98.0,1.0
1743803020.9579296,40013.0,28815.0,98.0,1.0
1743803021.0773516,40014.0,28873.0,98.0,1.0
1743803021.1558886,40027.0,28910.0,98.0,1.0
1743803021.2757943,40032.0,28946.0,98.0,1.0
1743803021.365302,40040.0,28928.0,98.0,1.0
1743803021.4827247,39974.0,28761.0,98.0,1.0
1743803021.5608075,39970.0,28766.0,98.0,1.0
1743803021.6784847,39913.0,28798.0,98.0,1.0
1743803021.7631512,39913.0,28745.0,98.0,1.0
1743803021.8850846,39592.0,28084.0,99.0,1.0
