Time,Red_light,IR_light,SpO2,SpO2Valid,,,,,,,,,50 point average,,
1744341550,34,521,97,1,,,94.64705882,,,equals ttest,,,94.64705882,,
1744341550,31,521,97,1,,,94.31372549,,,,,,94.31372549,,
1744341550,32,869,97,1,,,93.98039216,,,type 3 t test,,,93.98039216,,
1744341550,28,445,97,1,,,93.64705882,,,,,,93.64705882,,
1744341550,31,48,97,1,,,93.31372549,,,,,,93.31372549,,
1744341550,26,37,97,1,,,92.98039216,,,,,,92.98039216,,
1744341550,24,38,97,1,,,92.64705882,,,,,,92.64705882,,
1744341551,27,34,97,1,,,92.31372549,,,,,,92.31372549,,
1744341551,24,32,97,1,,,91.98039216,,,,,,91.98039216,,
1744341551,24,32,97,1,,,91.64705882,,,,,,91.64705882,,
1744341551,25,32,97,1,,,91.31372549,,,,,,91.31372549,,
1744341551,31,40,97,1,,,90.98039216,,,,,,90.98039216,,
1744341551,30,35,97,1,,,90.64705882,,,,,,90.64705882,,
1744341551,34,36,97,1,,,90.31372549,,,,,,90.31372549,,
1744341551,32,37,97,1,,,89.98039216,,,,,,89.98039216,,
1744341551,28,39,97,1,,,89.64705882,,,,,,89.64705882,,
1744341551,25,27,99,1,,,89.31372549,,,,,,89.31372549,,
1744341552,31,32,99,1,,,88.94117647,,,,,,88.94117647,,
1744341552,33,32,99,1,,,88.56862745,,,,,,88.56862745,,
1744341552,34,28,99,1,,,88.19607843,,,,,,88.19607843,,
1744341552,29,32,99,1,,,87.82352941,,,,,,87.82352941,,
1744341552,24,37,99,1,,,87.45098039,,,,,,87.45098039,,
1744341552,23,37,99,1,,,87.07843137,,,,,,87.07843137,,
1744341552,22,36,99,1,,,86.70588235,,,,,,86.70588235,,
1744341552,31,29,99,1,,,86.33333333,,,,,,86.33333333,,
1744341552,35,32,99,1,,,85.96078431,,,,,,85.96078431,,
1744341552,29,36,99,1,,,85.58823529,,,,,,85.58823529,,
1744341553,25,34,99,1,,,85.21568627,,,,,,85.21568627,,
1744341553,24,34,99,1,,,84.84313725,,,,,,84.84313725,,
1744341553,23,37,99,1,,,84.47058824,,,,,,84.47058824,,
1744341553,12,37,99,1,,,84.09803922,,,,,,84.09803922,,
1744341553,12,27,99,1,,,83.7254902,,,,,,83.7254902,,
1744341553,65,36,99,1,,,83.35294118,,,,,,83.35294118,,
1744341553,2906,32,99,1,,,82.98039216,,,,,,82.98039216,,
1744341553,842,38,99,1,,,82.60784314,,,,,,82.60784314,,
1744341553,842,38,99,1,,,82.23529412,,,,,,82.23529412,,
1744341553,842,38,99,1,,,81.8627451,,,,,,81.8627451,,
1744341554,1062,1873,99,1,,,81.49019608,,,,,,81.49019608,,
1744341554,597,2656,99,1,,,81.11764706,,,,,,81.11764706,,
1744341554,32,53,99,1,,,80.74509804,,,,,,80.74509804,,
1744341554,26,53,99,1,,,80.37254902,,,,,,80.37254902,,
1744341554,39,374,80,1,,,79.94117647,,,,,,79.94117647,,
1744341554,35,1121,80,1,,,79.88235294,,,,,,79.88235294,,
1744341554,22,117,80,1,,,79.82352941,,,,,,79.82352941,,
1744341554,20,31,80,1,,,79.76470588,,,,,,79.76470588,,
1744341554,24,37,80,1,,,79.70588235,,,,,,79.70588235,,
1744341554,21,35,80,1,,,79.64705882,,,,,,79.64705882,,
1744341555,24,31,80,1,,,79.58823529,,,,,,79.58823529,,
1744341555,28,26,80,1,,,79.52941176,,,,,,79.52941176,,
1744341555,32,38,80,1,,,79.47058824,,,,,,79.47058824,,
1744341555,25,39,80,1,,,79.41176471,,,,,,79.41176471,,
1744341555,22,36,80,1,,,79.35294118,,,,,,79.35294118,,
1744341555,30,39,80,1,,,79.29411765,,,,,,79.29411765,,
1744341555,27,34,80,1,,,79.23529412,,,,,,79.23529412,,
1744341555,24,30,80,1,,,79.17647059,,,,,,79.17647059,,
1744341555,33,35,80,1,,,79.11764706,,,,,,79.11764706,,
1744341555,34,32,80,1,,,79.05882353,,,,,,79.05882353,,
1744341556,27,33,80,1,,,79,,,,,,79,,
1744341556,26,35,80,1,,,78.94117647,,,,,,78.94117647,,
1744341556,24,35,80,1,,,78.88235294,,,,,,78.88235294,,
1744341556,19,36,80,1,,,78.82352941,,,,,,78.82352941,,
1744341556,16,32,80,1,,,78.76470588,,,,,,78.76470588,,
1744341556,29,32,80,1,,,78.70588235,,,,,,78.70588235,,
1744341556,38,27,80,1,,,78.64705882,,,,,,78.64705882,,
1744341556,37,30,80,1,,,78.58823529,,,,,,78.58823529,,
1744341556,30,37,80,1,,,78.52941176,,,,,,78.52941176,,
1744341556,36,28,80,1,,,77.8627451,,,,,,77.8627451,,
1744341557,33,36,80,1,,,77.19607843,,,,,,77.19607843,,
1744341557,24,39,80,1,,,76.52941176,,,,,,76.52941176,,
1744341557,20,40,80,1,,,75.8627451,,,,,,75.8627451,,
1744341557,20,36,80,1,,,75.19607843,,,,,,75.19607843,,
1744341557,20,32,80,1,,,74.52941176,,,,,,74.52941176,,
1744341557,1861,32,80,1,,,73.8627451,,,,,,73.8627451,,
1744341557,1680,27,80,1,,,73.19607843,,,,,,73.19607843,,
1744341557,165,24,80,1,,,72.52941176,,,,,,72.52941176,,
1744341557,165,24,80,1,,,71.8627451,,,,,,71.8627451,,
1744341557,25,24,80,1,,,71.19607843,,,,,,71.19607843,,
1744341558,1125,2460,80,1,,,70.52941176,,,,,,70.52941176,,
1744341558,522,2323,80,1,,,69.8627451,,,,,,69.8627451,,
1744341558,23,44,80,1,,,69.19607843,,,,,,69.19607843,,
1744341558,30,44,80,1,,,68.52941176,,,,,,68.52941176,,
1744341558,21,194,80,1,,,67.8627451,,,,,,67.8627451,,
1744341558,27,1091,80,1,,,67.19607843,,,,,,67.19607843,,
1744341558,28,250,80,1,,,66.52941176,,,,,,66.52941176,,
1744341558,35,37,80,1,,,65.8627451,,,,,,65.8627451,,
1744341558,34,29,80,1,,,65.19607843,,,,,,65.19607843,,
1744341558,25,43,80,1,,,64.52941176,,,,,,64.52941176,,
1744341559,26,35,80,1,,,63.8627451,,,,,,63.8627451,,
1744341559,23,37,80,1,,,63.19607843,,,,,,63.19607843,,
1744341559,22,41,80,1,,,62.52941176,,,,,,62.52941176,,
1744341559,19,34,80,1,,,61.8627451,,,,,,61.8627451,,
1744341559,33,36,77,1,,,61.19607843,,,,,,61.19607843,,
1744341559,28,37,77,1,,,60.58823529,,,,,,60.58823529,,
1744341559,27,38,77,1,,,59.98039216,,,,,,59.98039216,,
1744341559,32,34,77,1,,,59.37254902,,,,,,59.37254902,,
1744341559,25,36,77,1,,,58.76470588,,,,,,58.76470588,,
1744341559,26,37,77,1,,,58.15686275,,,,,,58.15686275,,
1744341560,21,35,77,1,,,57.54901961,,,,,,57.54901961,,
