Time,Red_light,IR_light,SpO2,SpO2Valid,,,,,50 point average,,
1744344036,12,32,80,1,,,89.45098039,,89.45098039,,
1744344036,12,31,80,1,,,89.76470588,,89.76470588,,
1744344036,501,33,80,1,,,90.07843137,,90.07843137,,
1744344036,2601,40,80,1,,,90.39215686,,90.39215686,,
1744344036,440,32,80,1,,,90.70588235,,90.70588235,,
1744344036,440,32,80,1,,,91.01960784,,91.01960784,,
1744344036,37,32,80,1,,,91.33333333,,91.33333333,,
1744344036,963,2850,80,1,,,91.64705882,,91.64705882,,
1744344036,261,1773,80,1,,,91.96078431,,91.96078431,,
1744344036,27,1773,80,1,,,92.2745098,,92.2745098,,
1744344037,28,1773,80,1,,,92.58823529,,92.58823529,,
1744344037,31,789,80,1,,,92.90196078,,92.90196078,,
1744344037,31,765,80,1,,,93.21568627,,93.21568627,,
1744344037,21,46,80,1,,,93.52941176,,93.52941176,,
1744344037,25,36,80,1,,,93.84313725,,93.84313725,,
1744344037,20,36,80,1,,,94.15686275,,94.15686275,,
1744344037,31,33,80,1,,,94.47058824,,94.47058824,,
1744344037,36,25,80,1,,,94.78431373,,94.78431373,,
1744344037,32,31,80,1,,,95.09803922,,95.09803922,,
1744344037,24,34,80,1,,,95.41176471,,95.41176471,,
1744344038,24,34,80,1,,,95.7254902,,95.7254902,,
1744344038,20,37,80,1,,,96.03921569,,96.03921569,,
1744344038,28,32,80,1,,,96.35294118,,96.35294118,,
1744344038,37,31,80,1,,,96.66666667,,96.66666667,,
1744344038,40,24,98,1,,,96.8627451,,96.8627451,,
1744344038,28,31,98,1,,,96.70588235,,96.70588235,,
1744344038,31,25,98,1,,,96.54901961,,96.54901961,,
1744344038,30,38,98,1,,,96.39215686,,96.39215686,,
1744344038,27,32,98,1,,,96.23529412,,96.23529412,,
1744344038,26,35,98,1,,,96.07843137,,96.07843137,,
1744344039,23,34,98,1,,,95.92156863,,95.92156863,,
1744344039,29,40,98,1,,,95.76470588,,95.76470588,,
1744344039,19,38,98,1,,,95.60784314,,95.60784314,,
1744344039,30,38,98,1,,,95.45098039,,95.45098039,,
1744344039,20,37,98,1,,,95.29411765,,95.29411765,,
1744344039,33,28,98,1,,,95.1372549,,95.1372549,,
1744344039,34,27,98,1,,,94.98039216,,94.98039216,,
